bowler,wickets,balls_bowled,runs_given,economy
R Sanjay Yadav,0,14,23,9.857142857142858
VS Yeligati,0,32,61,11.4375
Vivrant Sharma,0,21,37,10.571428571428571
I Malhotra,0,6,23,23.0
C Ganapathy,0,6,13,13.0
R Goyal,0,24,34,8.5
R Ravindra,0,12,7,3.5
P Prasanth,0,6,18,18.0
P Ray Barman,0,24,56,14.0
PWA Mulder,0,6,16,16.0
TH David,0,6,18,18.0
YBK Jaiswal,0,1,6,36.0
C Munro,0,12,15,7.5
Tilak Varma,0,23,28,7.304347826086957
Tejas Baroka,0,21,33,9.428571428571429
BJ Rohrer,0,7,12,10.285714285714285
Ishan Kishan,0,1,4,24.0
RA Shaikh,0,6,11,11.0
Monu Kumar,0,16,20,7.5
N Wadhera,0,17,22,7.764705882352942
S Sriram,0,18,49,16.333333333333336
SA Yadav,0,6,8,8.0
Atharva Taide,0,1,4,24.0
Auqib Nabi,0,13,17,7.846153846153847
B Chipli,0,6,20,20.0
AS Raut,0,30,45,9.0
Jalaj S Saxena,0,18,27,9.0
K Goel,0,67,94,8.417910447761194
S Joseph,0,30,51,10.2
S Midhun,0,13,29,13.384615384615385
F du Plessis,0,6,16,16.0
S Rana,0,16,18,6.75
GF Linde,0,18,28,9.333333333333334
NL McCullum,0,30,35,7.0
NJ Rimmington,0,18,20,6.666666666666667
JE Root,0,12,15,7.5
Gulbadin Naib,0,6,12,12.0
H Sharma,0,30,62,12.400000000000002
RR Bhatkal,0,12,35,17.5
RR Bose,0,12,24,12.0
Gurnoor Brar,0,21,42,12.0
RS Gavaskar,0,6,8,8.0
RV Patel,0,20,22,6.6000000000000005
NA Saini,0,15,35,14.0
RW Price,0,18,33,11.0
AUK Pathan,0,41,63,9.21951219512195
Abdur Razzak,0,14,29,12.42857142857143
Aman Hakim Khan,0,6,13,13.0
Arshad Khan (2),0,13,25,11.538461538461538
K Upadhyay,0,56,81,8.678571428571429
RA Tripathi,0,6,12,12.0
Mohit Rathee,0,12,29,14.5
Sunny Gupta,0,19,47,14.842105263157896
MW Short,0,26,26,6.0
Karim Janat,0,6,30,30.0
MG Neser,0,25,62,14.879999999999999
MJ Suthar,0,12,26,13.0
SZ Mulani,0,33,57,10.363636363636363
KR Mayers,0,46,59,7.695652173913043
KS Williamson,0,18,31,10.333333333333334
DA Warner,0,2,2,6.0
DJ Harris,0,18,26,8.666666666666666
SPD Smith,0,2,5,15.0
SR Tendulkar,0,37,59,9.567567567567567
SS Iyer,0,6,7,7.0
SN Khan,0,2,6,18.0
Sumit Kumar,0,22,38,10.363636363636363
KAJ Roach,0,52,80,9.230769230769232
Mandeep Singh,0,12,26,13.0
M Vijay,0,37,49,7.945945945945946
CJ Dala,0,19,34,10.736842105263158
Suryansh Shedge,0,19,40,12.631578947368421
CK Kapugedera,0,17,49,17.294117647058822
CJ Green,0,17,24,8.470588235294118
M Tiwari,0,6,14,14.0
LRPL Taylor,0,13,24,11.076923076923077
M Manhas,0,42,42,6.0
LPC Silva,0,6,21,21.0
MB Parmar,0,19,33,10.421052631578949
Y Gnaneswara Rao,0,6,7,7.0
A Dananjaya,0,25,47,11.28
