batter,death_runs,death_balls,death_sr
JJ van der Wath,14,12,116.66666666666667
JL Pattinson,15,13,115.38461538461537
JM Bairstow,75,57,131.57894736842107
JM Kemp,4,9,44.44444444444444
JM Sharma,434,246,176.42276422764226
JO Holder,174,138,126.08695652173914
JP Behrendorff,6,9,66.66666666666666
JP Duminy,882,530,166.41509433962264
JP Faulkner,439,294,149.31972789115648
JP Inglis,28,19,147.36842105263156
JPR Scantlebury-Searles,8,6,133.33333333333331
JR Hazlewood,17,19,89.47368421052632
JR Hopes,63,46,136.95652173913044
JR Philippe,1,2,50.0
Jaskaran Singh,7,9,77.77777777777779
Joginder Sharma,36,28,128.57142857142858
K Goel,30,31,96.7741935483871
K Gowtham,164,97,169.0721649484536
K Kartikeya,10,14,71.42857142857143
K Rabada,184,163,112.88343558282207
K Upadhyay,12,9,133.33333333333331
K Yadav,0,4,0.0
KA Jamieson,53,38,139.4736842105263
KA Maharaj,1,2,50.0
KA Pollard,2032,1270,160.0
KAJ Roach,5,7,71.42857142857143
KB Arun Karthik,25,30,83.33333333333334
KC Cariappa,12,13,92.3076923076923
KC Sangakkara,202,132,153.03030303030303
KD Karthik,1904,1151,165.42137271937446
KH Pandya,706,473,149.2600422832981
KJ Abbott,13,7,185.71428571428572
KK Ahmed,2,9,22.22222222222222
KK Cooper,79,44,179.54545454545453
KK Nair,275,160,171.875
KL Nagarkoti,16,21,76.19047619047619
KL Rahul,854,512,166.796875
KM Jadhav,565,417,135.4916067146283
KMA Paul,18,26,69.23076923076923
KMDN Kulasekara,5,3,166.66666666666669
KP Appanna,2,4,50.0
KP Pietersen,123,70,175.71428571428572
KR Sen,0,3,0.0
KS Bharat,32,21,152.38095238095238
KS Williamson,460,287,160.2787456445993
KT Maphaka,8,3,266.66666666666663
KV Sharma,248,192,129.16666666666669
KW Richardson,17,21,80.95238095238095
Kamran Akmal,26,17,152.94117647058823
Kamran Khan,0,1,0.0
Karanveer Singh,8,10,80.0
Kartik Tyagi,14,19,73.68421052631578
Kuldeep Yadav,186,211,88.15165876777252
Kumar Kushagra,0,1,0.0
L Ablish,0,2,0.0
L Balaji,35,46,76.08695652173914
L Ngidi,3,7,42.857142857142854
L Wood,9,3,300.0
LA Carseldine,20,13,153.84615384615387
LA Pomersbach,67,51,131.37254901960785
LB Williams,1,2,50.0
LE Plunkett,1,3,33.33333333333333
LH Ferguson,72,49,146.9387755102041
LJ Wright,84,38,221.0526315789474
LMP Simmons,56,38,147.36842105263156
LPC Silva,23,10,229.99999999999997
LR Shukla,219,171,128.0701754385965
LRPL Taylor,312,204,152.94117647058823
LS Livingstone,344,168,204.76190476190476
Lalit Yadav,94,85,110.58823529411765
M Ashwin,30,37,81.08108108108108
M Jansen,117,115,101.7391304347826
M Kaif,54,45,120.0
M Kartik,78,77,101.29870129870129
M Manhas,244,190,128.42105263157896
M Markande,48,43,111.62790697674419
M Morkel,116,83,139.75903614457832
M Muralitharan,20,30,66.66666666666666
M Ntini,11,19,57.89473684210527
M Prasidh Krishna,9,24,37.5
M Rawat,40,46,86.95652173913044
M Shahrukh Khan,395,255,154.90196078431373
M Theekshana,15,22,68.18181818181817
M Tiwari,2,2,100.0
M Vijay,125,72,173.61111111111111
M Vohra,62,28,221.42857142857144
M de Lange,1,2,50.0
MA Agarwal,252,124,203.2258064516129
MA Khote,18,15,120.0
MA Starc,74,85,87.05882352941177
MA Wood,12,10,120.0
MC Henriques,335,204,164.2156862745098
MC Juneja,17,16,106.25
MD Choudhary,72,42,171.42857142857142
MD Mishra,27,19,142.10526315789474
MD Shanaka,9,9,100.0
MEK Hussey,261,138,189.1304347826087
MF Maharoof,135,90,150.0
MG Bracewell,13,14,92.85714285714286
MG Johnson,157,147,106.80272108843538
MJ Henry,2,5,40.0
MJ McClenaghan,56,52,107.6923076923077
MJ Santner,94,73,128.76712328767124
MJ Suthar,1,2,50.0
MK Lomror,230,153,150.32679738562092
MK Pandey,713,494,144.33198380566802
MK Tiwary,597,426,140.14084507042253
ML Hayden,96,53,181.13207547169813
MM Ali,279,167,167.06586826347305
MM Patel,39,38,102.63157894736842
MM Sharma,89,91,97.8021978021978
MN Samuels,25,17,147.05882352941177
