batter,total_runs,balls_played,innings,strike_rate,dismissals,average,boundary_runs,boundary_percent,dot_balls,dot_ball_percent,consistency_score,total_50s,total_100s,best_batting,total_wickets,best_bowling,best_batting_runs,best_batting_balls,best_bowling_wickets,best_bowling_runs
AJ Finch,2092,1696,90,123.34905660377358,84.0,24.904761904761905,1324.0,63.28871892925431,749.0,44.1627358490566,21.960798122615497,15.0,0.0,88,1.0,1.0,88,54,1.0,11.0
AC Gilchrist,2069,1555,80,133.05466237942122,76.0,27.223684210526315,1508.0,72.88545190913484,737.0,47.39549839228296,24.64571431663556,11.0,2.0,109,1.0,1.0,109,50,1.0,0.0
MP Stoinis,2035,1462,101,139.19288645690835,74.0,27.5,1276.0,62.70270270270271,539.0,36.86730506155951,21.42259841317755,9.0,1.0,124,46.0,4.0,124,65,4.0,21.0
JP Duminy,2029,1680,75,120.77380952380952,49.0,41.40816326530612,978.0,48.20108427796944,562.0,33.45238095238095,20.46611790208348,14.0,0.0,78,23.0,4.0,78,53,4.0,19.0
MEK Hussey,1977,1648,58,119.96359223300972,52.0,38.01923076923077,1104.0,55.84218512898331,643.0,39.01699029126214,29.15673584283868,15.0,1.0,116,0.0,0.0,116,54,0.0,0.0
S Dube,1961,1440,80,136.18055555555554,63.0,31.126984126984127,1228.0,62.62111167771545,547.0,37.98611111111111,19.29254709512773,10.0,0.0,95,7.0,3.0,95,49,3.0,17.0
Abhishek Sharma,1945,1237,79,157.23524656426838,72.0,27.01388888888889,1416.0,72.80205655526993,485.0,39.20776071139854,25.835427771573947,10.0,1.0,141,11.0,2.0,141,59,2.0,5.0
D Padikkal,1931,1559,77,123.86144964720977,75.0,25.746666666666663,1200.0,62.14396685655102,648.0,41.56510583707505,21.85945913146444,13.0,1.0,101,0.0,0.0,101,54,0.0,0.0
AR Patel,1919,1496,126,128.27540106951872,91.0,21.087912087912088,1084.0,56.48775403856176,533.0,35.6283422459893,13.637690536692908,3.0,0.0,66,140.0,4.0,66,43,4.0,21.0
B Sai Sudharsan,1906,1359,44,140.25018395879323,39.0,48.87179487179487,1132.0,59.39139559286464,434.0,31.935246504782928,27.33663759054633,13.0,2.0,108,0.0,0.0,108,62,0.0,0.0
PP Shaw,1892,1321,79,143.22482967448903,77.0,24.571428571428573,1318.0,69.66173361522199,522.0,39.51551854655564,23.24115422250555,14.0,0.0,99,0.0,0.0,99,56,0.0,0.0
SP Narine,1816,1167,120,155.6126820908312,97.0,18.721649484536083,1484.0,81.71806167400881,571.0,48.92887746358184,20.278287984576856,7.0,1.0,109,215.0,5.0,109,64,5.0,13.0
DPMD Jayawardene,1808,1522,78,118.7910643889619,64.0,28.25,1040.0,57.52212389380531,619.0,40.67017082785808,22.15807647293313,10.0,1.0,110,0.0,0.0,110,61,0.0,0.0
KH Pandya,1757,1382,115,127.1345875542692,81.0,21.69135802469136,1002.0,57.029026750142286,542.0,39.218523878437054,15.835529575890222,2.0,0.0,86,102.0,4.0,86,38,4.0,19.0
Mandeep Singh,1706,1418,97,120.31029619181946,85.0,20.07058823529412,932.0,54.630715123094966,555.0,39.13963328631876,17.284236904209124,6.0,0.0,77,0.0,0.0,77,58,0.0,8.0
H Klaasen,1704,1075,50,158.51162790697674,41.0,41.5609756097561,1026.0,60.2112676056338,288.0,26.79069767441861,24.1346900810042,9.0,2.0,105,0.0,0.0,105,42,0.0,0.0
MK Tiwary,1695,1489,83,113.83478844862324,61.0,27.78688524590164,864.0,50.97345132743363,571.0,38.34788448623237,17.945799482647953,7.0,0.0,75,1.0,1.0,75,50,1.0,11.0
KK Nair,1694,1314,76,128.9193302891933,72.0,23.52777777777778,1034.0,61.03896103896104,519.0,39.49771689497717,21.472348599675,11.0,0.0,89,0.0,0.0,89,41,0.0,0.0
KC Sangakkara,1687,1424,68,118.4691011235955,69.0,24.44927536231884,942.0,55.83876704208655,552.0,38.764044943820224,21.426902711061363,10.0,0.0,94,0.0,0.0,94,58,0.0,0.0
JM Bairstow,1674,1181,52,141.7442845046571,50.0,33.48,1136.0,67.86140979689367,479.0,40.55884843353091,27.60011257545844,9.0,2.0,114,0.0,0.0,114,57,0.0,0.0
R Parag,1619,1194,77,135.59463986599664,64.0,25.296875,1006.0,62.13712168004941,447.0,37.43718592964824,21.05254955554766,7.0,0.0,95,11.0,1.0,95,48,1.0,5.0
DJ Bravo,1560,1247,110,125.10024057738572,69.0,22.60869565217392,876.0,56.15384615384615,498.0,39.93584603047314,15.052313558150368,5.0,0.0,70,207.0,4.0,70,62,4.0,22.0
NV Ojha,1554,1360,94,114.26470588235291,74.0,21.0,958.0,61.64736164736164,648.0,47.647058823529406,18.070770153155145,6.0,0.0,94,0.0,0.0,94,57,0.0,0.0
AK Markram,1548,1165,59,132.8755364806867,50.0,30.96,872.0,56.33074935400517,381.0,32.7038626609442,18.89749023935667,10.0,0.0,68,6.0,2.0,68,36,2.0,30.0
Tilak Varma,1534,1119,55,137.08668453976765,42.0,36.523809523809526,920.0,59.97392438070405,390.0,34.852546916890084,19.596553672136228,8.0,0.0,84,0.0,0.0,84,53,0.0,6.0
SO Hetmyer,1512,1054,81,143.45351043643265,55.0,27.49090909090909,950.0,62.83068783068783,388.0,36.81214421252372,16.43243743332071,5.0,0.0,75,0.0,0.0,75,50,0.0,0.0
DJ Hooda,1497,1213,101,123.41302555647157,82.0,18.25609756097561,764.0,51.03540414161657,428.0,35.28441879637263,15.458587283192449,8.0,0.0,64,10.0,2.0,64,28,2.0,16.0
