batter,total_runs,balls_played,innings,strike_rate
LA Carseldine,81,71,5,114.08450704225352
RV Patel,80,76,7,105.26315789473684
D Ferreira,79,62,5,127.41935483870968
AD Mascarenhas,79,79,11,100.0
JR Philippe,78,80,5,97.5
CR Woakes,78,77,12,101.29870129870129
B Akhil,76,57,11,133.33333333333331
IR Jaggi,76,100,7,76.0
TR Birt,75,59,5,127.11864406779661
JJ Bumrah,73,83,28,87.95180722891565
M Klinger,73,78,4,93.58974358974359
RR Sarwan,73,78,4,93.58974358974359
LH Ferguson,72,49,8,146.9387755102041
SK Rasheed,71,67,5,105.97014925373134
J Suchith,70,62,9,112.90322580645163
Vivrant Sharma,69,49,1,140.81632653061226
AA Bilakhia,69,88,7,78.4090909090909
Urvil Patel,68,34,3,200.0
RR Powar,67,64,9,104.6875
JG Bethell,67,39,2,171.7948717948718
Avesh Khan,67,44,15,152.27272727272728
HR Shokeen,66,67,5,98.50746268656717
R Sharma,66,77,19,85.71428571428571
WD Parnell,65,86,13,75.5813953488372
KA Jamieson,65,60,9,108.33333333333333
Mohammad Hafeez,64,84,8,76.19047619047619
Anirudh Singh,63,69,4,91.30434782608695
A Flintoff,62,57,3,108.77192982456141
SP Jackson,61,57,8,107.01754385964912
Sandeep Sharma,60,79,26,75.9493670886076
S Aravind,59,59,10,100.0
Harshit Rana,59,57,10,103.50877192982458
C Bosch,58,36,3,161.11111111111111
MG Bracewell,58,49,4,118.36734693877551
I Sharma,57,71,21,80.28169014084507
WA Mota,56,76,8,73.68421052631578
Vishnu Vinod,56,58,6,96.55172413793103
M Rawat,55,70,11,78.57142857142857
DJ Willey,53,64,5,82.8125
A Chopra,53,75,6,70.66666666666667
TU Deshpande,53,35,9,151.42857142857142
PVD Chameera,53,46,10,115.21739130434783
RP Singh,52,78,28,66.66666666666666
Shoaib Malik,52,49,5,106.12244897959184
OF Smith,51,50,6,102.0
Swapnil Singh,51,46,9,110.86956521739131
Shivam Mavi,51,58,11,87.93103448275862
R Rampaul,51,52,7,98.07692307692307
KB Arun Karthik,51,53,8,96.22641509433963
RV Gomez,50,53,9,94.33962264150944
VR Aaron,50,73,12,68.4931506849315
AG Paunikar,49,61,5,80.32786885245902
SB Bangar,49,58,7,84.48275862068965
PR Veer,49,36,2,136.11111111111111
AS Yadav,49,40,6,122.50000000000001
A Nortje,49,52,14,94.23076923076923
T Kohler-Cadmore,48,54,3,88.88888888888889
M Markande,48,44,10,109.09090909090908
Yashpal Singh,47,67,4,70.1492537313433
Ravi Bishnoi,45,69,17,65.21739130434783
DR Sams,44,48,13,91.66666666666666
D Pretorius,44,28,5,157.14285714285714
Sunny Singh,43,31,5,138.70967741935485
AB Barath,42,43,3,97.67441860465115
A Kamboj,42,38,8,110.5263157894737
SK Trivedi,42,61,14,68.85245901639344
S Arora,42,30,4,140.0
A Nehra,41,63,17,65.07936507936508
Rasikh Salam,40,40,6,100.0
BR Dunk,40,36,3,111.11111111111111
J Yadav,40,38,4,105.26315789473684
LPC Silva,40,27,3,148.14814814814815
AUK Pathan,39,26,7,150.0
DJ Thornely,39,54,4,72.22222222222221
MM Patel,39,41,12,95.1219512195122
Umar Gul,39,19,4,205.26315789473685
S Nadeem,39,88,20,44.31818181818182
S Narwal,37,29,4,127.58620689655173
YS Chahal,37,89,17,41.57303370786517
Anureet Singh,36,47,8,76.59574468085107
KW Richardson,36,39,4,92.3076923076923
L Balaji,36,50,13,72.0
Sohail Tanvir,36,31,5,116.12903225806453
AN Ahmed,36,27,6,133.33333333333331
Joginder Sharma,36,30,5,120.0
A Kumble,35,49,15,71.42857142857143
B Sumanth,35,38,4,92.10526315789474
M Ashwin,35,50,12,70.0
A Mithun,34,26,6,130.76923076923077
S Sreesanth,34,57,12,59.64912280701754
L Ronchi,34,37,5,91.8918918918919
AP Dole,34,23,2,147.82608695652172
D Salunkhe,33,24,3,137.5
Navdeep Saini,33,38,7,86.8421052631579
Imran Tahir,33,37,8,89.1891891891892
RJ Peterson,32,32,5,100.0
Basil Thampi,32,37,7,86.48648648648648
AT Carey,32,29,3,110.34482758620689
NS Naik,31,53,4,58.490566037735846
Arshdeep Singh,31,48,13,64.58333333333334
S Sriram,31,38,2,81.57894736842105
G Coetzee,31,33,7,93.93939393939394
T Taibu,31,26,3,119.23076923076923
VH Zol,29,26,2,111.53846153846155
J Syed Mohammad,29,27,5,107.40740740740742
Noor Ahmad,29,53,13,54.71698113207547
SB Jakati,28,30,5,93.33333333333333
AS Roy,27,28,9,96.42857142857143
AS Joseph,27,32,5,84.375
DJ Malan,26,26,1,100.0
AS Rajpoot,26,41,7,63.41463414634146
NL McCullum,26,23,2,113.04347826086956
CV Varun,26,51,12,50.98039215686274
MD Shanaka,26,26,3,100.0
AB Dinda,26,50,16,52.0
JM Kemp,26,25,2,104.0
PJ Sangwan,26,47,14,55.319148936170215
TL Seifert,26,26,3,100.0
Akash Deep,25,14,5,178.57142857142858
A Choudhary,25,20,3,125.0
Kartik Sharma,25,22,3,113.63636363636364
